make_0,make_1,make_2,make_3,make_4,make_5,make_6,make_7,make_8,make_9,vehicle_age,overall_rating
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,22.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,4.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,4.0,5
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,4.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,17.0,4
