index_x,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,collision_id,year_x,accelerator_defective,aggressive_driving/road_rage,alcohol_involvement,animals_action,backing_unsafely,brakes_defective,cell_phone_(hand-held),cell_phone_(hands-free),driver_inattention/distraction,driver_inexperience,driverless/runaway_vehicle,drugs_(illegal),eating_or_drinking,failure_to_keep_right,failure_to_yield_right-of-way,fatigued/drowsy,fell_asleep,following_too_closely,glare,headlights_defective,illness,lane_marking_improper/inadequate,listening/using_headphones,lost_consciousness,obstruction/debris,other_electronic_device,other_lighting_defects,other_vehicular,outside_car_distraction,oversized_vehicle,passenger_distraction,passing_too_closely,passing_or_lane_usage_improper,pavement_defective,pavement_slippery,pedestrian/bicyclist/other_pedestrian_error/confusion,physical_disability,prescription_medication,reaction_to_uninvolved_vehicle,shoulders_defective/improper,steering_failure,texting,tinted_windows,tire_failure/inadequate,tow_hitch_defective,traffic_control_device_improper/non-working,traffic_control_disregarded,turning_improperly,unsafe_lane_changing,unsafe_speed,using_on_board_navigation_device,vehicle_vandalism,view_obstructed/limited,windshield_inadequate,crash_datetime_x,unique_id,person_id,vehicle_id_x,person_age,person_sex,person_type_bicyclist,person_type_occupant,person_type_pedestrian,person_injured,index_y,vehicle_id_y,vehicle_type,vehicle_make,vehicle_model,vehicle_year,driver_sex,driver_license_status,driver_license_jurisdiction,pre_crash,point_of_impact,year_y,center_back_end,center_front_end,demolished,left_front_bumper,left_front_quarter_panel,left_rear_bumper,left_rear_quarter_panel,left_side_doors,no_damage,other,right_front_bumper,right_front_quarter_panel,right_rear_bumper,right_rear_quarter_panel,right_side_doors,crash_datetime_y
377.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100704,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-30 18:42:00,1543426,2,10387110.0,49,,False,True,False,1,22409,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-30 18:42:00
397.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,274375,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-12 05:20:00,2155414,2,13980799.0,59,,False,True,False,1,87934,2,taxi,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-12 05:20:00
418.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27798,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 21:05:00,1312243,2,8882640.0,39,,False,True,False,1,10185,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 21:05:00
418.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27798,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 21:05:00,1312245,4,8882640.0,7,,False,True,False,1,10185,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 21:05:00
431.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265203,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-24 21:10:00,2117755,1,,36,,False,False,True,1,1595,1,unknown vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-24 21:10:00
435.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3033581,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 16:50:00,2028793,1,13083645.0,66,,False,True,False,1,28331,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 16:50:00
437.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295706,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-19 11:00:00,2217411,1,14395530.0,73,,False,True,False,1,31972,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-19 11:00:00
450.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110540,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-21 21:56:00,1582040,1,,33,,False,False,True,1,3468,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-21 21:56:00
545.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103927,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-22 08:58:00,1557896,1,10465006.0,36,,True,False,False,1,117051,2,bicycle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-22 08:58:00
560.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,265223,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 13:16:00,2117760,2,13748186.0,9,,False,True,False,1,188091,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 13:16:00
578.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,280945,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-20 09:35:00,2172735,1,14086776.0,33,,False,True,False,1,42420,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-20 09:35:00
