CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-05-22,14:14,QUEENS,11378.0,40.7203857,-73.9223149,"(40.7203857, -73.9223149)",58 ROAD                         ,48 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,216434,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-20,18:00,BROOKLYN,11207.0,40.6657168,-73.8875942,"(40.6657168, -73.8875942)",LIVONIA AVENUE                  ,HENDRIX STREET                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,167166,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,2013
2013-05-26,13:28,BROOKLYN,11219.0,40.6259834,-74.0015202,"(40.6259834, -74.0015202)",65 STREET                       ,13 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,142846,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-06,13:00,QUEENS,11432.0,40.7074685,-73.7886921,"(40.7074685, -73.7886921)",171 STREET                      ,JAMAICA AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,211023,PASSENGER VEHICLE,,,,,2013
2013-06-07,16:30,BRONX,10475.0,40.8687708,-73.8317333,"(40.8687708, -73.8317333)",BARTOW AVENUE                   ,BAYCHESTER AVENUE               ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,90516,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,2013
2013-06-08,18:30,QUEENS,11420.0,40.6661275,-73.8251758,"(40.6661275, -73.8251758)",116 STREET                      ,NORTH CONDUIT AVENUE            ,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,230739,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-20,17:05,BRONX,10471.0,40.9124681,-73.9025894,"(40.9124681, -73.9025894)",RIVERDALE AVENUE                ,WEST 263 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,108257,PASSENGER VEHICLE,UNKNOWN,,,,2013
2013-05-30,18:00,BROOKLYN,11221.0,40.6991993,-73.9230825,"(40.6991993, -73.9230825)",STOCKHOLM STREET                ,WILSON AVENUE                   ,,1.0,0.0,1,0,0,0,0,0,Other Vehicular,,,,,186135,PASSENGER VEHICLE,,,,,2013
2013-06-09,21:20,BROOKLYN,11212.0,40.657003,-73.9140271,"(40.657003, -73.9140271)",EAST 98 STREET                  ,LOTT AVENUE                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,161930,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-23,15:03,BROOKLYN,11234.0,40.6188135,-73.9327062,"(40.6188135, -73.9327062)",FLATBUSH AVENUE                 ,TROY AVENUE                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,127886,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,2013
