CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2012-10-22,17:18,,,40.6666992,-73.8117267,"(40.6666992, -73.8117267)",BELT PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Other Vehicular,Other Vehicular,,,4470433,Sedan,Sedan,Sedan,,,2012
2012-12-31,15:30,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,2934191,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2012
2012-12-31,8:30,,,,,,CORTELYOU ROAD                  ,CONEY ISLAND AVENUE             ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,148880,PASSENGER VEHICLE,UNKNOWN,,,,2012
2012-12-27,11:48,,,,,,,,,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,2965105,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2012
2012-12-27,6:25,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2864375,TAXI,PASSENGER VEHICLE,,,,2012
2012-12-26,16:33,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2934185,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,2012
2012-12-15,9:45,,,,,,,,,1.0,0.0,0,0,0,0,1,0,Physical Disability,Unspecified,,,,3096970,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,2012
2012-12-12,16:34,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2965078,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2012
2012-12-12,20:20,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,2879206,BUS,PASSENGER VEHICLE,,,,2012
2012-12-09,22:20,,,,,,,,,1.0,0.0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,2921834,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2012
