CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-03,20:10,BROOKLYN,11229.0,40.611477,-73.94883,"(40.611477, -73.94883)",AVENUE P,BEDFORD AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4692430,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,19:00,,,,,,NEW ENGLAND THRUWAY,,,3.0,0.0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4692613,Sedan,Box Truck,,,,2024
2024-01-03,17:58,QUEENS,11369.0,40.75866,-73.876465,"(40.75866, -73.876465)",92 STREET,32 AVENUE,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4692399,Pick-up Truck,,,,,2024
2024-01-03,12:03,BROOKLYN,11231.0,40.683743,-73.99524,"(40.683743, -73.99524)",COURT STREET,DE GRAW STREET,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4692314,Taxi,Bike,,,,2024
2024-01-03,15:00,QUEENS,11367.0,40.727985,-73.8315,"(40.727985, -73.8315)",,,134-22    JEWEL AVENUE,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4692393,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,2024
2024-01-03,13:37,,,40.607864,-74.179184,"(40.607864, -74.179184)",SOUTH AVENUE,TELEPORT DRIVE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692317,Sedan,,,,,2024
2024-01-03,11:20,BRONX,10453.0,40.858524,-73.90435,"(40.858524, -73.90435)",,,9         WEST 183 STREET,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4692777,Ambulance,Box Truck,,,,2024
2024-01-03,17:09,,,40.63082,-73.88636,"(40.63082, -73.88636)",ROCKAWAY PARKWAY,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692423,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,6:49,QUEENS,11378.0,40.72936,-73.92856,"(40.72936, -73.92856)",LAUREL HILL BOULEVARD,56 ROAD,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4692249,Pick-up Truck,Sedan,,,,2024
2024-01-03,7:15,QUEENS,11378.0,40.726624,-73.906456,"(40.726624, -73.906456)",55 ROAD,BORDEN AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692538,Bike,Station Wagon/Sport Utility Vehicle,,,,2024
