CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-01,6:30,MANHATTAN,10029.0,40.78719,-73.94416,"(40.78719, -73.94416)",,,307       EAST 101 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4693685,Van,,,,,2024
2024-01-01,5:30,,,40.814144,-73.95571,"(40.814144, -73.95571)",WEST 126 STREET,,,0.0,0.0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,4692107,Sedan,Sedan,,,,2024
2024-01-01,2:40,BRONX,10457.0,40.84478,-73.90095,"(40.84478, -73.90095)",,,4088      PARK AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,,,,,4692174,Ambulance,,,,,2024
2024-01-01,18:22,,,40.849453,-73.906006,"(40.849453, -73.906006)",EAST TREMONT AVENUE,,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4691810,Sedan,,,,,2024
2024-01-01,1:30,,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4691888,Sedan,Sedan,,,,2024
2024-01-01,8:37,,,,,,TRIBOROUGH BRIDGE,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4692021,subn,Sedan,,,,2024
2024-01-01,10:00,,,40.730442,-73.91367,"(40.730442, -73.91367)",LONG ISLAND EXPRESSWAY,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4691881,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-01,21:56,BROOKLYN,11207.0,40.66643,-73.882835,"(40.66643, -73.882835)",,,923       LIVONIA AVENUE,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4692079,Sedan,Sedan,,,,2024
2024-01-01,6:00,QUEENS,11416.0,40.68592,-73.846924,"(40.68592, -73.846924)",97 AVENUE,WOODHAVEN BOULEVARD,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4691952,Sedan,,,,,2024
2024-01-01,16:40,,,,,,Van cortlandt park south,Putnam Avenue,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692341,Sedan,,,,,2024
