CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-05,15:02,BROOKLYN,11219.0,40.626183,-73.994156,"(40.626183, -73.994156)",60 STREET,15 AVENUE,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692879,Sedan,,,,,2024
2024-01-05,15:00,QUEENS,11373.0,40.739883,-73.868996,"(40.739883, -73.868996)",52 AVENUE,94 STREET,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4692929,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-05,11:40,MANHATTAN,10017.0,40.754215,-73.97087,"(40.754215, -73.97087)",,,230       EAST 48 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4700798,Taxi,Sedan,,,,2024
2024-01-05,12:00,,,,,,SPRINGFIELD BOULEVARD,HORACE HARDING EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4692856,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-05,19:40,MANHATTAN,10022.0,40.758537,-73.97721,"(40.758537, -73.97721)",5 AVENUE,WEST 50 STREET,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4693019,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-05,14:15,QUEENS,11435.0,40.70849,-73.81829,"(40.70849, -73.81829)",,,138-15    QUEENS BOULEVARD,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4692931,Motorcycle,,,,,2024
2024-01-05,1:40,,,40.66613,-73.82615,"(40.66613, -73.82615)",NORTH CONDUIT AVENUE,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692721,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,,2024
2024-01-05,15:39,BROOKLYN,11236.0,40.6338,-73.8897,"(40.6338, -73.8897)",ROCKAWAY PARKWAY,SEAVIEW AVENUE,,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,4692902,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-05,7:55,QUEENS,11378.0,40.72677,-73.89542,"(40.72677, -73.89542)",69 STREET,CLINTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4693353,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-05,10:30,BRONX,10462.0,40.843143,-73.85575,"(40.843143, -73.85575)",SACKET AVENUE,BRONXDALE AVENUE,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4693264,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-05,10:00,,,40.67342,-73.95017,"(40.67342, -73.95017)",PARK PLACE,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692908,Station Wagon/Sport Utility Vehicle,,,,,2024
