UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
20620229,4692960,2024-01-05,17:12,3b62f608-6908-4328-9c62-67870e832ffa,PA,Sedan,BMW -CAR/SUV,,2021.0,South,1.0,F,Licensed,PA,Making Right Turn,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Driver Inattention/Distraction,2024
20580267,4692842,2024-01-05,7:41,3b1fb018-fdb0-4f0a-af35-c6d8276573b8,NY,Sedan,,,2007.0,East,1.0,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20581638,4693573,2024-01-05,15:31,5aec392a-5a8c-4adc-ad30-121c5ff01db8,NY,Sedan,TOYT -CAR/SUV,,2018.0,West,1.0,F,Licensed,NY,Going Straight Ahead,Center Back End,Right Rear Bumper,Center Back End,,,N,,Unspecified,Unspecified,2024
20580303,4692901,2024-01-05,13:30,8b8fc139-daed-437e-851d-b846564df286,,,,,,,,,,,,,,,,,Unspecified,"GATE, FENCE, FRONT YARD OF 1299 REMSEN AVENUE.",,,2024
20580192,4692833,2024-01-05,8:45,68faacbd-1440-4dfe-b491-4b158a984cd3,,Station Wagon/Sport Utility Vehicle,,,,West,,,,,Going Straight Ahead,No Damage,No Damage,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Driver Inexperience,2024
20580216,4692844,2024-01-05,8:30,0cb98ce8-c98f-4d10-bc62-ddc9cb2b6963,,Sedan,,,,Southeast,,,,,Going Straight Ahead,Center Front End,Left Front Bumper,Left Front Bumper,Center Front End,Left Front Bumper,N,,Driver Inattention/Distraction,Driver Inexperience,2024
20581016,4693127,2024-01-05,9:00,5cc4b901-bbc1-4c63-a268-2d4b990d9b88,,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,,West,1.0,,,,Making Right Turn,Center Front End,,,,,N,,Unspecified,Unspecified,2024
20581288,4693250,2024-01-05,18:55,c04ca90c-49fa-47d7-96be-18259cacb62f,,,,,,North,1.0,,,,Starting from Parking,Left Front Bumper,Other,,,,Unspecified,,Failure to Yield Right-of-Way,Unspecified,2024
20582915,4693160,2024-01-05,22:15,f54fdc65-e573-4df9-b9b9-6270c0ea5e48,NY,Sedan,TOYT -CAR/SUV,,2020.0,East,1.0,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,No Damage,N,,Unspecified,Unspecified,2024
20581391,4693129,2024-01-05,14:00,3bed339b-11ea-40e7-8329-c8abab942d02,NY,Sedan,TOYT -CAR/SUV,,2009.0,North,1.0,M,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,,Unspecified,Unspecified,2024
20581619,4693572,2024-01-05,0:09,22288d0c-c3e5-4da6-a828-7f84e3b7b633,NY,Sedan,ACUR -CAR/SUV,,2016.0,North,1.0,F,Licensed,NY,Making Right Turn,Center Front End,Center Front End,Center Back End,Center Back End,,Unspecified,,Pavement Slippery,Unspecified,2024
20580616,4692983,2024-01-05,15:15,2d1300c1-313d-40c6-baad-cfe2f9360eaf,,Bike,,,,West,1.0,M,,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,,,,N,,Traffic Control Disregarded,Unspecified,2024
20589739,4697125,2024-01-05,23:38,2695dbb5-dd6f-44da-9b94-d220958df8fa,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,1995.0,North,0.0,,,,Parked,Left Rear Quarter Panel,Left Rear Bumper,Right Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20581563,4693645,2024-01-05,13:02,b3c4648a-37f8-4bd3-86ea-167bc346ebad,NJ,Station Wagon/Sport Utility Vehicle,BUIC -CAR/SUV,,2021.0,Northeast,1.0,M,Licensed,NJ,Making Left Turn,Left Front Bumper,Center Front End,No Damage,No Damage,,N,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,2024
20581061,4693333,2024-01-05,11:00,bf0a23fe-e64c-4825-aeb8-04a9029ee4d3,FL,Station Wagon/Sport Utility Vehicle,VOLK -CAR/SUV,,2018.0,North,1.0,M,Licensed,FL,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Center Front End,Left Front Quarter Panel,Right Front Bumper,N,,Unspecified,Unspecified,2024
