UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
20579594,4692505,2024-01-03,18:30,b157fa60-780c-4688-a569-00dfa845cf11,,,,,,South,0.0,,,,Going Straight Ahead,Center Front End,Center Front End,Center Front End,Center Front End,,N,,Driver Inattention/Distraction,Driver Inexperience,2024
20579605,4692731,2024-01-03,22:30,cb5eed8c-8ea3-48c0-be41-676a1138245a,NY,Sedan,SUBA -CAR/SUV,,2022.0,West,0.0,,,,Parked,Right Side Doors,Right Front Quarter Panel,,,,N,,Unspecified,Unspecified,2024
20591401,4697923,2024-01-03,11:38,251b190b-0792-4514-9ce4-75bc1dd07d14,NY,Sedan,HYUN -CAR/SUV,,2021.0,West,1.0,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Bumper,,,,Unspecified,,Unspecified,Unspecified,2024
20582084,4693753,2024-01-03,12:30,7e555e04-701d-4112-b0b4-814d11723d07,NY,Sedan,TOYT -CAR/SUV,,2015.0,West,1.0,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Unspecified,Unspecified,2024
20579536,4692626,2024-01-03,12:15,1681686f-0f0d-42e9-8b24-846ec066b569,NJ,Sedan,HYUN -CAR/SUV,,2009.0,North,2.0,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified,2024
20578767,4692314,2024-01-03,12:03,8ad46756-cf2f-4c90-82dc-9b444cfe4921,,Bike,,,,South,1.0,M,Unlicensed,NY,Going Straight Ahead,No Damage,No Damage,No Damage,No Damage,No Damage,N,,Following Too Closely,Following Too Closely,2024
20578763,4692377,2024-01-03,5:52,bc1de7be-f56d-4222-98a1-ea3eebf539e1,NY,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2024.0,Northwest,1.0,M,Licensed,NY,Making Right Turn,Right Front Quarter Panel,Right Front Quarter Panel,Right Rear Quarter Panel,Right Side Doors,Right Rear Bumper,N,,Other Vehicular,Unspecified,2024
20583746,4694562,2024-01-03,7:50,88f3a696-0bc1-4d3c-867a-4d25c5fcd049,NY,Box Truck,freight bus,,2021.0,East,26.0,M,Licensed,NY,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20579067,4692196,2024-01-03,3:00,5d56950f-a6ee-46cf-a73e-56a0d4e164d7,NY,Sedan,TOYT -CAR/SUV,,2017.0,East,0.0,,,,Parked,Left Rear Bumper,Left Rear Quarter Panel,Left Side Doors,Center Back End,Left Front Quarter Panel,N,,Unspecified,Unspecified,2024
20579438,4692503,2024-01-03,16:30,18e845b4-3ad6-4927-8ca0-ab15a4f3d629,NY,Sedan,HYUN -CAR/SUV,,2023.0,East,1.0,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,Center Front End,N,,Outside Car Distraction,Unspecified,2024
20579009,4692243,2024-01-03,8:21,8c7569c7-161e-459b-8f3d-43c37b505811,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2018.0,North,1.0,M,,NY,Going Straight Ahead,Center Front End,Center Front End,Center Front End,Center Front End,Center Front End,N,,Driver Inattention/Distraction,Driver Inattention/Distraction,2024
20578361,4692161,2024-01-03,4:45,9f69dbc5-c5bf-48d2-9233-aff881ad319a,NY,Taxi,CHEV -CAR/SUV,,2022.0,West,1.0,M,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,No Damage,Left Front Quarter Panel,No Damage,N,,Unspecified,Unspecified,2024
20578985,4692440,2024-01-03,19:17,1009762f-d9e3-47c2-aebd-43e28e759b4e,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2017.0,South,1.0,,,,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,,Traffic Control Disregarded,Unspecified,2024
20578858,4692453,2024-01-03,0:00,af0cbaa4-8d50-47b1-b441-16ad98276d7c,NY,Sedan,HYUN -CAR/SUV,,2005.0,South,0.0,,,,Making U Turn,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,No Damage,No Damage,N,,Turning Improperly,Driver Inattention/Distraction,2024
20579706,4692498,2024-01-03,18:05,d07967a6-6223-4774-bad2-fcf66f247634,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2014.0,West,1.0,F,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified,2024
20578912,4692394,2024-01-03,8:50,3481759a-394f-4cf4-bfcc-b7c75bdf78e6,NY,Sedan,HOND -CAR/SUV,,2016.0,West,1.0,M,Licensed,NY,Merging,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20579491,4692486,2024-01-03,7:50,97e4edae-7b1b-428d-8f46-a6ff0607d144,,,,,,West,,,,,Backing,Center Back End,,,,,Unspecified,,Backing Unsafely,Driver Inattention/Distraction,2024
20580914,4693407,2024-01-03,19:00,a9b36330-5854-477b-8d02-b3085a7aa74f,NY,Tow Truck / Wrecker,CHEV-TRUCK/BUS,,2016.0,West,1.0,,,,Backing,Right Rear Bumper,No Damage,No Damage,No Damage,,N,,Unspecified,Unspecified,2024
20579691,4692589,2024-01-03,19:28,82eb4311-5d37-4cb4-8ee8-38168040815e,VA,Sedan,JEEP -CAR/SUV,,2021.0,South,1.0,M,Licensed,NY,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,,Failure to Yield Right-of-Way,Unspecified,2024
20579556,4692591,2024-01-03,20:00,ebf6b03d-9d75-4e9d-ad44-ed35a8dd8d1f,NY,Sedan,INFI -CAR/SUV,,2014.0,South,0.0,,,,Parked,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,N,,Unspecified,Unspecified,2024
20579386,4692480,2024-01-03,10:15,e876ca7b-d43c-47be-9913-273e6710e143,NY,Sedan,ACUR -CAR/SUV,,2019.0,South,0.0,,,,Parked,Right Side Doors,Right Side Doors,,,Right Side Doors,N,,Unspecified,Unspecified,2024
20587044,4695878,2024-01-03,20:34,728017eb-6040-4663-93ed-f5795939bf2a,PA,Sedan,TOYT -CAR/SUV,,2007.0,South,3.0,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,N,,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,2024
20583773,4692724,2024-01-03,22:00,091dc8af-3730-4bb8-95fc-ac3b451cbd3b,NY,Sedan,HOND -CAR/SUV,,2024.0,South,1.0,M,Licensed,NY,Making Left Turn,Left Front Quarter Panel,Left Front Bumper,,,,N,,Driver Inexperience,Driver Inexperience,2024
