CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-04,11:48,,,,,,ARCHER AVENUE,150 STREET,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4692746,Sedan,Sedan,,,,2024
2024-01-04,11:00,,,,,,BROOKLYN QNS EXPRESSWAY,HAMILTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692689,Van,Sedan,,,,2024
2024-01-04,1:59,,,40.774563,-73.94309,"(40.774563, -73.94309)",FDR DRIVE,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,4692459,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-04,23:15,,,40.863632,-73.87168,"(40.863632, -73.87168)",BRONX RIVER PARKWAY,,,4.0,0.0,0,0,0,0,4,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,4693300,Taxi,Sedan,Sedan,Sedan,,2024
2024-01-04,7:45,,,40.624912,-74.146706,"(40.624912, -74.146706)",FOREST AVENUE,,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4692549,Sedan,Bike,,,,2024
2024-01-04,21:00,BROOKLYN,11204.0,40.609154,-73.9799,"(40.609154, -73.9799)",,,1561      WEST 6 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692973,Sedan,,,,,2024
2024-01-04,20:35,QUEENS,11418.0,40.7014,-73.816315,"(40.7014, -73.816315)",89 AVENUE,VANWYCK EXPRESSWAY,,3.0,0.0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4692763,Sedan,Box Truck,,,,2024
2024-01-04,15:55,,,40.696205,-73.97249,"(40.696205, -73.97249)",PARK AVENUE,ADELPHI STREET,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,,,,4692964,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-04,11:20,,,40.810318,-73.943634,"(40.810318, -73.943634)",WEST 129 STREET,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4693394,Sedan,Box Truck,,,,2024
2024-01-04,7:29,BROOKLYN,11203.0,40.651566,-73.94007,"(40.651566, -73.94007)",,,180       EAST 40 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4693118,Sedan,,,,,2024
