CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-02,10:10,BROOKLYN,11236.0,,,,EAST 103 STREET,SEAVIEW AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692123,Sedan,Sedan,,,,2024
2024-01-02,22:00,,,,,,FDR DRIVE,,,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,4692292,Motorcycle,,,,,2024
2024-01-02,16:20,,,40.763046,-73.768265,"(40.763046, -73.768265)",215 STREET,42 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692418,Sedan,,,,,2024
2024-01-02,6:00,,,40.861862,-73.91275,"(40.861862, -73.91275)",WEST FORDHAM ROAD,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692160,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,18:10,BRONX,10451.0,40.82751,-73.92495,"(40.82751, -73.92495)",EAST 161 STREET,GERARD AVENUE,,1.0,0.0,0,0,0,0,0,0,Passing Too Closely,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4692359,Sedan,E-Scooter,,,,2024
2024-01-02,23:47,BRONX,10472.0,40.82998,-73.882385,"(40.82998, -73.882385)",BRONX RIVER AVENUE,COLGATE AVENUE,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692228,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-02,0:20,BROOKLYN,11235.0,40.585922,-73.93085,"(40.585922, -73.93085)",,,3907      SHORE PARKWAY,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4691846,Sedan,,,,,2024
2024-01-02,6:51,,,40.71795,-73.94769,"(40.71795, -73.94769)",BROOKLYN QUEENS EXPRESSWAY,,,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,4692198,Sedan,Sedan,,,,2024
2024-01-02,14:30,MANHATTAN,10035.0,40.803127,-73.93625,"(40.803127, -73.93625)",,,2282      3 AVENUE,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4692288,Van,Sedan,,,,2024
2024-01-02,6:02,QUEENS,11374.0,40.732582,-73.86806,"(40.732582, -73.86806)",ELIOT AVENUE,QUEENS BOULEVARD,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4691918,Sedan,Minicycle,,,,2024
2024-01-02,15:50,STATEN ISLAND,10310.0,40.62782,-74.12126,"(40.62782, -74.12126)",FOREST AVENUE,CLOVE ROAD,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4692294,Sedan,,,,,2024
2024-01-02,0:50,,,,,,CROSS BRONX EXPY RAMP,,,2.0,0.0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,,,,4691964,Sedan,Sedan,,,,2024
2024-01-02,19:20,BROOKLYN,11219.0,40.6406,-73.99434,"(40.6406, -73.99434)",NEW UTRECHT AVENUE,FORT HAMILTON PARKWAY,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692135,Sedan,,,,,2024
2024-01-02,12:19,,,,,,THROGS NECK BRIDGE,,,2.0,0.0,0,0,0,0,2,0,Brakes Defective,Unspecified,,,,4692372,Sedan,Sedan,,,,2024
2024-01-02,18:50,,,40.763344,-73.75791,"(40.763344, -73.75791)",CROSS ISLAND PARKWAY,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4692403,Sedan,Sedan,Sedan,,,2024
2024-01-02,18:36,BROOKLYN,11221.0,40.68969,-73.933395,"(40.68969, -73.933395)",LEXINGTON AVENUE,STUYVESANT AVENUE,,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Unspecified,Unspecified,,,4692514,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,2024
2024-01-02,19:50,,,40.609886,-73.98556,"(40.609886, -73.98556)",72 STREET,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692109,Sedan,Bike,,,,2024
2024-01-02,13:20,QUEENS,11374.0,,,,62 DRIVE,JUNCTION BOULEVARD,,1.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692034,Sedan,E-Bike,,,,2024
2024-01-02,17:05,BRONX,10461.0,40.83455,-73.829414,"(40.83455, -73.829414)",,,3355      EAST TREMONT AVENUE,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692085,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-02,6:28,STATEN ISLAND,10305.0,,,,Quintard street,Patterson avenue,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Passenger Distraction,,,,4692051,Sedan,Sedan,,,,2024
2024-01-02,9:40,BROOKLYN,11204.0,40.61269,-73.982666,"(40.61269, -73.982666)",WEST 8 STREET,BAY PARKWAY,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4691993,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-02,19:16,BROOKLYN,11221.0,40.69069,-73.91621,"(40.69069, -73.91621)",EVERGREEN AVENUE,PUTNAM AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4692510,Sedan,,,,,2024
2024-01-02,8:55,BROOKLYN,11236.0,40.643776,-73.913765,"(40.643776, -73.913765)",EAST 87 STREET,FOSTER AVENUE,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4692266,Tow Truck / Wrecker,Sedan,,,,2024
2024-01-02,14:13,BROOKLYN,11221.0,40.693256,-73.93494,"(40.693256, -73.93494)",,,990       DE KALB AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692306,Bus,Sedan,,,,2024
2024-01-02,12:45,QUEENS,11362.0,40.751297,-73.73986,"(40.751297, -73.73986)",DOUGLASTON PARKWAY,67 AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692414,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-02,9:40,MANHATTAN,10028.0,40.777996,-73.95614,"(40.777996, -73.95614)",,,146       EAST 84 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692027,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-02,18:05,QUEENS,11373.0,40.74623,-73.89037,"(40.74623, -73.89037)",BROADWAY,75 STREET,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4692114,Bus,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,8:22,,,40.685368,-73.9109,"(40.685368, -73.9109)",DECATUR STREET,,,1.0,0.0,0,0,0,0,1,0,Passing Too Closely,Unspecified,,,,4692210,Sedan,Bus,,,,2024
2024-01-02,18:40,,,40.870987,-73.84726,"(40.870987, -73.84726)",FISH AVENUE,EAST GUN HILL ROAD,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4692402,Convertible,Convertible,,,,2024
2024-01-02,15:00,QUEENS,11417.0,40.674557,-73.859604,"(40.674557, -73.859604)",SUTTER AVENUE,NORTH CONDUIT AVENUE,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4692137,Sedan,Sedan,,,,2024
2024-01-02,0:00,BROOKLYN,11214.0,40.608562,-73.99414,"(40.608562, -73.99414)",20 AVENUE,79 STREET,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4692178,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,8:49,BROOKLYN,11234.0,40.62192,-73.936134,"(40.62192, -73.936134)",FLATBUSH AVENUE,LOTT PLACE,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4692061,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,14:37,BRONX,10456.0,40.83056,-73.903244,"(40.83056, -73.903244)",,,1229      FRANKLIN AVENUE,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692563,Sedan,,,,,2024
2024-01-02,18:35,BROOKLYN,11230.0,40.619396,-73.969574,"(40.619396, -73.969574)",OCEAN PARKWAY,AVENUE L,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4692426,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,17:39,QUEENS,11374.0,40.731144,-73.86937,"(40.731144, -73.86937)",BOOTH STREET,ELIOT AVENUE,,1.0,0.0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,4692240,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,2024
2024-01-02,9:00,STATEN ISLAND,10301.0,40.615623,-74.105354,"(40.615623, -74.105354)",VICTORY BOULEVARD,ONTARIO AVENUE,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4692295,Bus,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,16:36,,,40.77277,-73.804184,"(40.77277, -73.804184)",160 STREET,,,1.0,0.0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,4692189,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,23:30,,,40.826553,-73.93466,"(40.826553, -73.93466)",HARLEM RIVER DRIVE,,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4692145,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-02,18:40,,,40.86804,-73.879105,"(40.86804, -73.879105)",SOUTHERN BOULEVARD,MOSHOLU PARKWAY,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Aggressive Driving/Road Rage,,,,4692774,Pick-up Truck,Sedan,,,,2024
2024-01-02,22:00,BRONX,10466.0,40.88874,-73.839836,"(40.88874, -73.839836)",,,1307      EAST 233 STREET,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4692328,Bike,,,,,2024
2024-01-02,21:51,BRONX,10454.0,40.80671,-73.91728,"(40.80671, -73.91728)",,,548       EAST 138 STREET,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692202,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
