UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
20581504,4693467,2024-01-02,8:00,dc6af6b9-dcd2-44bf-b8ff-f92d7f314493,,,,,,,,,,,,,,,,,Unspecified,,,,2024
20578719,4692308,2024-01-02,0:54,ef348f6f-2601-4273-99f1-83df3792440c,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2019.0,South,2.0,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,Right Rear Quarter Panel,,,N,,Unspecified,Unspecified,2024
20578936,4692420,2024-01-02,18:37,3d0bc745-4583-41a5-8aae-c43292f208ca,NY,Bus,FRHT-TRUCK/BUS,,2018.0,East,1.0,M,Licensed,NY,Going Straight Ahead,No Damage,No Damage,,,,N,,Unspecified,Unspecified,2024
20617553,4693771,2024-01-02,14:59,c71560a8-a4d2-417f-a12e-7c6864818044,NY,Sedan,FORD -CAR/SUV,,2020.0,East,1.0,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,Left Rear Quarter Panel,No Damage,N,,Unspecified,Unspecified,2024
20582073,4693755,2024-01-02,12:30,f443ddea-a25c-41e6-acff-a0bd164157b9,PA,Sedan,TOYT -CAR/SUV,,2015.0,East,2.0,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified,2024
20579433,4692471,2024-01-02,14:15,418ec1e1-b55d-4f0e-80a7-bcd5eb70ee5a,NY,Carry All,MTA bus,,2017.0,South,1.0,F,Licensed,NY,Starting from Parking,Left Front Quarter Panel,Left Front Bumper,,,,N,,Unspecified,Unspecified,2024
20578311,4692140,2024-01-02,11:54,f291682a-040d-488d-9d5b-3ebf267fc6f1,NY,Sedan,JEEP -CAR/SUV,,2019.0,South,0.0,,,,Parked,Left Front Quarter Panel,Left Side Doors,Left Rear Quarter Panel,,,N,,Unspecified,Unspecified,2024
20583031,4693927,2024-01-02,15:10,8700e5a3-381e-40e0-85b6-978049f4f4b9,NY,Sedan,MERZ -CAR/SUV,,2022.0,East,5.0,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified,2024
20578093,4692113,2024-01-02,17:21,746afbe7-fe8c-43f1-bcea-c0c93e90eaa1,FL,Pick-up Truck,MIFU,,2020.0,West,1.0,F,Licensed,NJ,Going Straight Ahead,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,N,,Driver Inattention/Distraction,Unspecified,2024
20579514,4692476,2024-01-02,6:25,e2862647-2718-460e-a3df-8f9d5b50df63,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2021.0,East,2.0,F,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,Left Front Bumper,No Damage,No Damage,N,,Unspecified,Unspecified,2024
